street,name,type,oneway,node,lat,lon
5536174,Spalding,residential,n/a,40692646,45.8569779,-111.3351473
5536174,Spalding,residential,n/a,40692649,45.8563410,-111.3358351
5536174,Spalding,residential,n/a,40692651,45.8553324,-111.3369326
5536174,Spalding,residential,n/a,40692654,45.8549071,-111.3373765
5536174,Spalding,residential,n/a,961882034,45.8546787,-111.3377190
5538505,Spalding,residential,n/a,40721137,45.8551165,-111.3316738
5538505,Spalding,residential,n/a,40721138,45.8544772,-111.3323481
5538505,Spalding,residential,n/a,40721142,45.8534648,-111.3334446
5538509,Spalding,residential,n/a,40721184,45.8535990,-111.3350960
5538509,Spalding,residential,n/a,40721186,45.8540634,-111.3345833
5538509,Spalding,residential,n/a,40721189,45.8550941,-111.3335061
5538509,Spalding,residential,n/a,2705337666,45.8557236,-111.3328070
5540362,Spalding,residential,n/a,40743004,45.8538707,-111.3312181
5540362,Spalding,residential,n/a,40743005,45.8545209,-111.3305173
5542464,Railroad Avenue,residential,n/a,40767452,45.8542590,-111.3267000
5542464,Railroad Avenue,residential,n/a,40709746,45.8542990,-111.3266480
5543537,Spalding,residential,n/a,40745110,45.8559516,-111.3380753
5543537,Spalding,residential,n/a,40784418,45.8552479,-111.3388194
5543609,Branch Street,residential,n/a,40786345,45.8596532,-111.3419700
5543609,Branch Street,residential,n/a,961678951,45.8597332,-111.3419576
5543609,Branch Street,residential,n/a,40725006,45.8602640,-111.3413350
5543609,Branch Street,residential,n/a,40786350,45.8605610,-111.3410160
5543609,Branch Street,residential,n/a,40786352,45.8606350,-111.3409047
5543889,7th Street North,residential,n/a,40792391,45.8554220,-111.3286150
5543889,7th Street North,residential,n/a,40712054,45.8558000,-111.3282083
5543889,7th Street North,residential,n/a,40792393,45.8564350,-111.3275202
5543889,7th Street North,residential,n/a,40792396,45.8574270,-111.3264580
5544023,7th Street South,residential,n/a,40795575,45.8531380,-111.3310610
5544023,7th Street South,residential,n/a,1810781527,45.8532055,-111.3309898
5544023,7th Street South,residential,n/a,40795576,45.8535513,-111.3306249
5544023,7th Street South,residential,n/a,40745055,45.8542143,-111.3299253
5544023,7th Street South,residential,n/a,40795582,45.8545936,-111.3295249
5544342,Madison Avenue,residential,n/a,40803282,45.8554000,-111.3216000
5544342,Madison Avenue,residential,n/a,40803284,45.8553740,-111.3195620
5544397,Access,residential,n/a,40803852,45.8603886,-111.3234985
5544397,Access,residential,n/a,40803859,45.8609280,-111.3235050
5544934,Washington Avenue,residential,n/a,40813773,45.8586400,-111.3286860
5544934,Washington Avenue,residential,n/a,40680597,45.8589478,-111.3292602
5544934,Washington Avenue,residential,n/a,40813778,45.8592764,-111.3298732
5545033,East Main Street,tertiary,n/a,4526181908,45.8532858,-111.3271036
5545033,East Main Street,tertiary,n/a,40815722,45.8536893,-111.3278499
5545033,East Main Street,tertiary,n/a,40808817,45.8539920,-111.3284006
5545033,East Main Street,tertiary,n/a,40795582,45.8545936,-111.3295249
5545531,East Fulton Avenue,residential,n/a,40829919,45.8589985,-111.3244356
5545531,East Fulton Avenue,residential,n/a,40680585,45.8590071,-111.3251578
5545531,East Fulton Avenue,residential,n/a,40829922,45.8590153,-111.3258534
5545531,East Fulton Avenue,residential,n/a,40829928,45.8590220,-111.3264140
5545531,East Fulton Avenue,residential,n/a,40829933,45.8590430,-111.3265070
5545531,East Fulton Avenue,residential,n/a,40680603,45.8593340,-111.3270300
5545531,East Fulton Avenue,residential,n/a,40829937,45.8596460,-111.3275880
5545533,East Fulton Avenue,residential,n/a,40829942,45.8589817,-111.3230226
5545533,East Fulton Avenue,residential,n/a,40829943,45.8589590,-111.3216097
5545970,4th Street North,residential,n/a,40840647,45.8578872,-111.3332429
5545970,4th Street North,residential,n/a,40749588,45.8580706,-111.3330427
5545970,4th Street North,residential,n/a,40712076,45.8582609,-111.3328351
5545970,4th Street North,residential,n/a,40840653,45.8588983,-111.3321392
5545970,4th Street North,residential,n/a,40840655,45.8598963,-111.3310505
5545970,4th Street North,residential,n/a,40840659,45.8603398,-111.3305658
5546407,Sunny Drive,residential,n/a,40853726,45.8598519,-111.3258921
5546407,Sunny Drive,residential,n/a,2705337695,45.8598201,-111.3263698
