street,name,type,oneway,node,lat,lon
5668966,West 106th Street,secondary,n/a,4205830390,40.7982075,-73.9604245
5668966,West 106th Street,secondary,n/a,3602678205,40.7983244,-73.9607050
5668966,West 106th Street,secondary,n/a,4205830391,40.7984850,-73.9610904
5668968,West 80th Street,residential,yes,42421778,40.7855935,-73.9820114
5668968,West 80th Street,residential,yes,8727756094,40.7850831,-73.9808014
5668968,West 80th Street,residential,yes,42421776,40.7850311,-73.9806779
5668968,West 80th Street,residential,yes,8727756090,40.7849766,-73.9805486
5668968,West 80th Street,residential,yes,8709392086,40.7846082,-73.9796755
5668968,West 80th Street,residential,yes,42421775,40.7845691,-73.9795827
5668968,West 80th Street,residential,yes,1061531525,40.7844943,-73.9794053
5668968,West 80th Street,residential,yes,8709392092,40.7844446,-73.9792875
5668968,West 80th Street,residential,yes,6207264916,40.7838690,-73.9779225
5668968,West 80th Street,residential,yes,42421772,40.7838280,-73.9778254
5668968,West 80th Street,residential,yes,42421769,40.7826383,-73.9750067
5668973,Hillside Avenue,tertiary,yes,8904913030,40.8590785,-73.9314426
5668973,Hillside Avenue,tertiary,yes,1764387328,40.8591319,-73.9313040
5668973,Hillside Avenue,tertiary,yes,8904913029,40.8591520,-73.9312010
5668973,Hillside Avenue,tertiary,yes,1253602763,40.8591327,-73.9310913
5668973,Hillside Avenue,tertiary,yes,6789770917,40.8587815,-73.9302155
5668973,Hillside Avenue,tertiary,yes,42421785,40.8587440,-73.9301220
5668973,Hillside Avenue,tertiary,yes,1763749985,40.8584861,-73.9294511
5668973,Hillside Avenue,tertiary,yes,1763749982,40.8584402,-73.9292936
5668973,Hillside Avenue,tertiary,yes,1763749983,40.8584148,-73.9291161
5668973,Hillside Avenue,tertiary,yes,1253602799,40.8584081,-73.9289784
5668973,Hillside Avenue,tertiary,yes,1253602778,40.8584145,-73.9288580
5668973,Hillside Avenue,tertiary,yes,1253602808,40.8584309,-73.9286974
5668973,Hillside Avenue,tertiary,yes,1763749975,40.8584740,-73.9285588
5668973,Hillside Avenue,tertiary,yes,1763749984,40.8585330,-73.9284067
5668973,Hillside Avenue,tertiary,yes,1253602787,40.8586131,-73.9282468
5668973,Hillside Avenue,tertiary,yes,42421786,40.8590120,-73.9276250
5668973,Hillside Avenue,tertiary,yes,42421788,40.8597008,-73.9271440
5668973,Hillside Avenue,tertiary,yes,1763749980,40.8597941,-73.9270589
5668973,Hillside Avenue,tertiary,yes,1764400287,40.8599030,-73.9268606
5668973,Hillside Avenue,tertiary,yes,42421791,40.8599440,-73.9267860
5668973,Hillside Avenue,tertiary,yes,7071351523,40.8602842,-73.9261189
5668973,Hillside Avenue,tertiary,yes,7045498713,40.8603172,-73.9260517
5668973,Hillside Avenue,tertiary,yes,7045498726,40.8604030,-73.9258828
5668973,Hillside Avenue,tertiary,yes,1763748991,40.8604448,-73.9258005
5668973,Hillside Avenue,tertiary,yes,7045498716,40.8606202,-73.9256723
5668973,Hillside Avenue,tertiary,yes,1764400316,40.8612434,-73.9252158
5668973,Hillside Avenue,tertiary,yes,4814440061,40.8612931,-73.9252316
5668973,Hillside Avenue,tertiary,yes,4814440062,40.8613637,-73.9252612
5668977,West 84th Street,residential,yes,42421820,40.7885135,-73.9810702
5668977,West 84th Street,residential,yes,8727756063,40.7876172,-73.9789470
5668977,West 84th Street,residential,yes,42421810,40.7875673,-73.9788289
5668977,West 84th Street,residential,yes,8727756059,40.7875118,-73.9786972
5668977,West 84th Street,residential,yes,7182103205,40.7871297,-73.9777899
5668977,West 84th Street,residential,yes,42421809,40.7870877,-73.9776927
